epoch,lr,loss_pix,loss_detect,loss_v,loss_r_fft,loss_r_grad,loss_r_perc,loss_perc,loss_total,val_psnr,val_ssim,val_psnr_coarse,val_ssim_coarse
1,0.0002,0.21475600264966488,1.1309273093938828,0.22663975438723963,0.3190166216343641,2.292727771401405,22.537776295344035,11.844624576965968,3.4786718398332597,,,,
2,0.00019990045022511257,0.21132695308576027,1.0264328149457773,0.19988391163448493,0.22598181404173373,1.5499030036230883,17.20228276650111,11.465797183911006,2.898923641939958,,,,
3,0.00019980090045022513,0.2129913017464181,0.5055523687352736,0.13530792014983792,0.19236118653789164,1.202046669026216,14.96959184408188,11.52030081152916,2.6175729878246785,,,,
4,0.0001997013506753377,0.20583292981609702,0.2689654153306037,0.08087857997355362,0.1699963793779413,1.012533576786518,14.195540956656139,11.496107258399327,2.4377082814772923,,,,
5,0.00019960180090045022,0.19184864982962607,0.15576126254163683,0.048135889670811595,0.13898727375393113,0.871062446758151,13.441392290592194,11.1865182975928,2.3088496511181194,,,,
6,0.00019950225112556278,0.1853554166542987,0.12976040246721823,0.029326241638045758,0.11724803391844034,0.8034070139129956,13.044989335536957,11.0351236085097,2.1917998497684796,,,,
7,0.00019940270135067534,0.1844716561337312,0.2160496457926153,0.022878164505042757,0.10310107463349899,0.7594751079877218,12.815075496832529,11.15501112739245,2.178954010208448,,,,
8,0.0001993031515757879,0.20635991871046525,0.24184551518507458,0.01857329113991,0.09231706404437622,0.7348166778683662,12.57859578927358,11.090150648355484,2.1669003928701085,,,,
9,0.00019920360180090046,0.1776758403517306,0.15549213489381752,0.015981210872511534,0.08499796978818873,0.7221990273644526,12.486237200101217,11.080979583660762,2.130097143848737,,,,
10,0.00019910405202601302,0.17573126217660803,0.16842618396040052,0.014707422568850841,0.07729039986928304,0.6888752148797115,12.119873489936193,10.911002252499262,2.089417804280917,7.893738785321355,0.013170483202359381,20.66067615037853,0.562693365356822
11,0.00019900450225112558,0.16802576386059323,0.17418496333120856,0.01339567934483057,0.073912033236896,0.6866939008235932,12.085018090407054,10.938724037011465,2.0663263604044912,,,,
12,0.00019890495247623812,0.18346273206795255,0.2455442785207803,0.011926043280012285,0.071080767052869,0.6630856124063332,11.944815488656362,10.967084443569183,2.0821252703666686,,,,
13,0.00019880540270135068,0.15776165844872594,0.13557179183117113,0.010808113277016673,0.06735516370584567,0.6601496587196986,11.760182189941407,10.78646601041158,1.992685586710771,,,,
14,0.00019870585292646324,0.1702288904072096,0.12496908823183427,0.011146013666681635,0.06625577600983282,0.6564201244463523,11.812453218301137,10.932495991388956,2.0508911535143852,,,,
